y,x,frame,t,vial,climbing,1
103.03,167.11,94,3.76,1,climbing,
35.97,237.66,94,3.76,1,climbing,
351.45,218.9,95,3.8,1,climbing,
117.67,160.64,95,3.8,1,climbing,
105.9,167.18,95,3.8,1,climbing,
35.95,237.8,95,3.8,1,climbing,
351.51,220.01,96,3.84,1,climbing,
119.5,160.83,96,3.84,1,climbing,
112.51,168.01,96,3.84,1,climbing,
35.98,237.9,96,3.84,1,climbing,
351.74,221.78,97,3.88,1,climbing,
120.71,160.93,97,3.88,1,climbing,
113.71,168.93,97,3.88,1,climbing,
36.01,237.96,97,3.88,1,climbing,
351.77,222.1,98,3.92,1,climbing,
122.56,160.86,98,3.92,1,climbing,
118.19,168.78,98,3.92,1,climbing,
36.03,238.0,98,3.92,1,climbing,
352.5,224.74,99,3.96,1,climbing,
123.74,161.21,99,3.96,1,climbing,
116.82,169.14,99,3.96,1,climbing,
36.08,238.04,99,3.96,1,climbing,
352.51,225.82,100,4.0,1,climbing,
125.52,161.73,100,4.0,1,climbing,
119.84,169.86,100,4.0,1,climbing,
36.06,238.05,100,4.0,1,climbing,
352.4,226.05,101,4.04,1,climbing,
126.75,162.05,101,4.04,1,climbing,
126.52,170.06,101,4.04,1,climbing,
36.05,238.06,101,4.04,1,climbing,
352.58,226.91,102,4.08,1,climbing,
128.67,162.39,102,4.08,1,climbing,
125.93,170.21,102,4.08,1,climbing,
36.25,238.7,102,4.08,1,climbing,
352.66,227.88,103,4.12,1,climbing,
131.73,171.67,103,4.12,1,climbing,
129.74,162.92,103,4.12,1,climbing,
36.28,238.76,103,4.12,1,climbing,
352.79,228.88,104,4.16,1,climbing,
131.93,171.33,104,4.16,1,climbing,
36.27,238.75,104,4.16,1,climbing,
352.89,229.93,105,4.2,1,climbing,
134.98,172.17,105,4.2,1,climbing,
132.72,164.07,105,4.2,1,climbing,
36.31,238.82,105,4.2,1,climbing,
352.8,230.18,106,4.24,1,climbing,
139.74,173.84,106,4.24,1,climbing,
134.59,165.17,106,4.24,1,climbing,
36.39,238.91,106,4.24,1,climbing,
352.56,232.96,107,4.28,1,climbing,
140.73,175.08,107,4.28,1,climbing,
135.37,165.89,107,4.28,1,climbing,
52.3,169.26,107,4.28,1,climbing,
36.47,239.01,107,4.28,1,climbing,
352.62,233.92,108,4.32,1,climbing,
142.73,176.15,108,4.32,1,climbing,
135.44,165.98,108,4.32,1,climbing,
52.48,169.05,108,4.32,1,climbing,
36.55,239.81,108,4.32,1,climbing,
352.78,234.05,109,4.36,1,climbing,
144.91,177.21,109,4.36,1,climbing,
135.4,166.06,109,4.36,1,climbing,
52.58,168.87,109,4.36,1,climbing,
36.5,239.9,109,4.36,1,climbing,
352.77,235.25,110,4.4,1,climbing,
149.82,178.96,110,4.4,1,climbing,
134.83,165.89,110,4.4,1,climbing,
52.64,168.78,110,4.4,1,climbing,
36.51,239.93,110,4.4,1,climbing,
352.87,236.01,111,4.44,1,climbing,
150.86,180.94,111,4.44,1,climbing,
135.42,166.14,111,4.44,1,climbing,
52.92,168.42,111,4.44,1,climbing,
36.51,240.73,111,4.44,1,climbing,
371.42,235.92,112,4.48,1,climbing,
353.37,237.03,112,4.48,1,climbing,
153.78,181.97,112,4.48,1,climbing,
135.41,166.14,112,4.48,1,climbing,
53.38,168.21,112,4.48,1,climbing,
36.46,239.99,112,4.48,1,climbing,
354.38,237.72,113,4.52,1,climbing,
157.74,183.04,113,4.52,1,climbing,
134.82,165.88,113,4.52,1,climbing,
53.38,168.19,113,4.52,1,climbing,
36.44,240.01,113,4.52,1,climbing,
371.05,237.62,114,4.56,1,climbing,
353.65,238.03,114,4.56,1,climbing,
160.7,185.16,114,4.56,1,climbing,
134.34,165.95,114,4.56,1,climbing,
