y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,particle,track_completeness,vial
483.5044844470046,255.57070916538657,317,140660,0.422,24.23,317,0.0,3,0.12,True,29,1.0,1.0
481.5044844470046,379.02070916538656,491,140660,0.34,41.64,491,0.0,3,0.12,True,30,0.7172413793103448,2.0
481.1944844470046,1121.6707091653866,493,140660,0.433,40.93,493,0.0,3,0.12,True,32,0.8758620689655172,6.0
480.9944844470046,890.5807091653866,390,140660,0.451,31.76,390,0.0,3,0.12,True,33,0.9793103448275862,5.0
488.4044844470046,232.6507091653866,560,140660,0.291,38.35,560,0.0,3,0.12,True,34,0.22758620689655173,1.0
478.0744844470046,566.7907091653866,724,140660,0.174,47.28,724,0.0,3,0.12,True,35,0.9172413793103448,3.0
486.7244844470046,967.5207091653866,408,140660,0.418,30.58,408,0.0,3,0.12,True,36,0.9793103448275862,5.0
483.9744844470046,1144.4207091653866,481,140660,0.222,32.93,481,0.0,3,0.12,True,37,0.11724137931034483,6.0
481.0344844470046,353.45070916538657,453,140660,0.375,37.64,453,0.0,3,0.12,True,38,0.9724137931034482,2.0
474.5544844470046,528.8307091653866,605,140660,0.15,42.58,605,0.0,3,0.12,True,39,0.2896551724137931,3.0
490.9844844470046,573.2707091653866,159,140660,0.302,11.06,159,0.1,3,0.12,False,40,0.9172413793103448,0.0
472.6944844470046,590.3407091653866,514,140660,0.258,44.93,514,0.0,3,0.12,True,41,0.9241379310344827,3.0
487.0544844470046,362.70070916538657,535,140660,0.483,42.58,535,0.0,3,0.12,True,42,0.20689655172413793,2.0
489.2644844470046,768.5707091653866,463,140660,0.552,43.99,463,0.0,3,0.12,True,44,0.2896551724137931,4.0
499.1244844470046,741.5807091653866,100,140660,0.61,8.7,100,0.3,3,0.12,False,45,0.9862068965517241,0.0
487.0444844470046,921.4007091653866,577,140660,0.461,46.11,577,0.0,3,0.12,True,46,1.0,5.0
486.9244844470046,1152.9907091653868,375,140660,0.405,32.23,375,0.0,3,0.12,True,49,0.9172413793103448,6.0
474.3544844470046,706.3607091653865,253,140660,0.272,25.88,253,0.1,3,0.12,True,50,0.9448275862068966,4.0
486.9144844470046,612.4307091653866,387,140660,0.24,32.46,387,0.0,3,0.12,True,51,0.6827586206896552,3.0
